ccid,r-time,r-time-decode,r-sts,r-val,r-spcl-val,gps-act,header,sim-operator,buffer,log-byte,driver_license_full,car_v,gsm_csq,gps-hdop,sattel,gps_speed,acc-on,ovr-spd,SOS-on,m-batt-low,m-batt-zro,turn-right,turn-left,crash-off,HA-off,HD-off,HC-off,gps-dist,lat,long,heading,imei,dvice-s/n,fw_ver,fuel-typ,fuel-lv,temper01,temper02
8966052503402407997F,1/1/2066 14:00,33:44.5,50,33,24,A,undefined,D,6,,,26500,30,7,15,0,0,0,0,0,0,0,0,1,1,1,1,3984.5,13.435136,101.067946,322,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1836,0,0
8966052503402407997F,22/12/2025 14:13,13:02.5,57,0,600,A,7E,D,68,,,28200,23,153,10,37,1,0,0,0,0,0,0,1,1,1,1,14914.6,16.600286,104.744371,94,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1093,0,0
8966052503402407997F,22/12/2025 14:09,09:44.7,32,31,78985,A,7E,D,68,,,28200,31,4,8,0,1,0,0,0,0,0,0,1,1,1,1,14913.2,16.601653,104.72838,0,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1092,0,0
8966052503402407997F,22/12/2025 14:09,09:34.6,31,81779,98485,A,7E,D,67,,,28200,31,144,6,2,1,0,0,0,0,0,0,1,1,1,1,14913.2,16.601671,104.728313,107,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1092,0,0
8966052503402407997F,22/12/2025 14:09,09:31.5,32,31,78980,A,7E,D,67,,,28200,31,144,7,0,1,0,0,0,0,0,0,1,1,1,1,14913.2,16.60168,104.728318,25,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1092,0,0
8966052503402407997F,22/12/2025 14:09,09:20.5,31,81776,98472,A,7E,D,67,,,28200,31,2,8,2,1,0,0,0,0,0,0,1,1,1,1,14913.2,16.60168,104.728318,357,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1093,0,0
8966052503402407997F,22/12/2025 14:09,09:18.7,32,31,78970,A,7E,D,67,,,28200,31,2,9,0,1,0,0,0,0,0,0,1,1,1,1,14913.2,16.601636,104.728276,50,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1093,0,0
8966052503402407997F,22/12/2025 14:09,09:17.5,31,81774,98469,A,7E,D,67,,,28300,31,2,8,4,1,0,0,0,0,0,0,1,1,1,1,14913.2,16.601636,104.728276,84,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1093,0,0
8966052503402407997F,22/12/2025 14:09,09:12.4,32,31,78969,A,7E,D,67,,,28200,31,121,11,0,1,0,0,0,0,0,0,1,1,1,1,14913.2,16.60169,104.728071,77,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1093,0,0
8966052503402407997F,22/12/2025 14:08,08:52.5,31,81770,98447,A,7E,D,67,,,28200,31,8,9,4,1,0,0,0,0,0,0,1,1,1,1,14913.2,16.60169,104.728071,87,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1092,0,0
8966052503402407997F,22/12/2025 14:08,08:48.7,32,31,78951,A,7E,D,67,,,28400,31,8,9,0,1,0,0,0,0,0,0,1,1,1,1,14913.2,16.601675,104.727983,0,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1092,0,0
8966052503402407997F,22/12/2025 14:08,08:34.8,31,81766,98430,A,7E,D,67,,,28300,31,8,9,2,1,0,0,0,0,0,0,1,1,1,1,14913.2,16.601675,104.727983,95,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1093,0,0
8966052503402407997F,22/12/2025 14:08,08:16.9,32,31,78938,A,7E,D,67,,,28300,31,0,6,0,1,0,0,0,0,0,0,1,1,1,1,14913.2,16.6016,104.727645,146,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1092,0,0
8966052503402407997F,22/12/2025 14:08,08:15.5,31,81750,98413,A,7E,D,67,,,28200,31,0,7,4,1,0,0,0,0,0,0,1,1,1,1,14913.2,16.6016,104.727645,151,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1092,0,0
8966052503402407997F,22/12/2025 14:08,08:13.9,32,31,78937,A,7E,D,67,,,28300,31,0,7,0,1,0,0,0,0,0,0,1,1,1,1,14913.2,16.601648,104.727563,145,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1092,0,0
8966052503402407997F,22/12/2025 14:08,08:07.6,31,81748,98406,A,7E,D,67,,,28300,27,0,7,4,1,0,0,0,0,0,0,1,1,1,1,14913.2,16.601648,104.727563,123,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1092,0,0
8966052503402407997F,22/12/2025 14:08,08:05.8,32,31,78932,A,7E,D,67,,,28300,27,0,7,0,1,0,0,0,0,0,0,1,1,1,1,14913.2,16.601645,104.727518,0,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1092,0,0
8966052503402407997F,22/12/2025 14:07,07:52.4,31,81746,98392,V,7E,D,67,,,28300,27,85,0,0,1,0,0,0,0,0,0,1,1,1,1,14913.2,16.602068,104.725725,0,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1093,0,0
